r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
2732,19.3167,-81.1667,19.6,"(0.144915, -0.932512, 0.330789)",216,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,19.65,-80.1,0.05,"(0.161917, -0.927741, 0.336274)",216,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,26.5,-78.8,2.65,"(0.173827, -0.87789, 0.446198)",101,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,18.4667,-77.4,2.65,"(0.206911, -0.925665, 0.316753)",222,79.1,<pygplates.pygplates.Feature object at 0x0000016CD8DAC4A0>,-76.8224258052523,18.491836580284335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,18.5,-77.3333,0.05,"(0.207948, -0.925243, 0.317305)",218,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,18.3667,-77.1167,35.95,"(0.211608, -0.925168, 0.315098)",222,79.1,<pygplates.pygplates.Feature object at 0x0000016CD8DAC580>,,,,,,,-76.16229233524967,17.360677328260838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,18.2167,-77.1,35.95,"(0.212061, -0.925907, 0.312612)",222,79.1,<pygplates.pygplates.Feature object at 0x0000016CD8DAC5F0>,,,,,,,-76.14713283343227,17.210537735795114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,18.1861,-76.4347,2.65,"(0.222837, -0.923545, 0.312104)",222,79.1,<pygplates.pygplates.Feature object at 0x0000016CD8DAC660>,-75.8573953368544,18.209979932626254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,18.1847,-76.4181,2.3,"(0.223106, -0.923487, 0.312081)",222,79.1,<pygplates.pygplates.Feature object at 0x0000016CD8DAC6D0>,-75.84079510460263,18.208558258932854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,17.8833,-76.2806,3.1,"(0.225708, -0.924531, 0.307079)",222,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,20.1333,-75.2,28.45,"(0.239837, -0.907745, 0.344205)",206,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC7B0>,,,,,-70.18407822279364,20.2088851730042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,24.0333,-74.5167,0.05,"(0.243815, -0.880163, 0.407268)",101,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,-44.85,-71.5,148.55,"(0.224955, -0.672319, -0.705253)",291,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.573742201635078,-43.57366474195841,,,,,,,,,,
786,19.6667,-71.4,8.45,"(0.300353, -0.892482, 0.336548)",252,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC900>,-70.8198931626382,19.68392120301883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,19.5333,-71.3,7.1,"(0.302161, -0.892696, 0.334355)",252,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC970>,-70.72008365684135,19.5503875921236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,-38.7,-70.2833,160.4,"(0.263294, -0.734676, -0.625243)",291,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAC9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.669614407398942,-36.09566111770173,,,,,,
569,-35.9167,-69.7833,160.4,"(0.279868, -0.759976, -0.586608)",291,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.89612980530537,-33.29028009957821,,,,,,
3238,18.4167,-69.5167,0.05,"(0.332012, -0.888796, 0.315926)",252,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACAC0>,-68.93829116346248,18.431395296512306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,12.2833,-69.0667,0.05,"(0.349102, -0.912616, 0.212746)",224,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,18.1667,-67.9167,8.45,"(0.357214, -0.880449, 0.311783)",252,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,18.5167,-67.0333,13.8,"(0.369996, -0.873067, 0.317581)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACC10>,,,-65.73238384243814,18.455144182775136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,18.5167,-67.0333,8.45,"(0.369996, -0.873067, 0.317581)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACC80>,-66.45455495338027,18.528038979183897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,17.9833,-66.9167,25.55,"(0.372915, -0.874994, 0.30874)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACCF0>,,,,,-65.65311113411424,17.472425811043845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,18.05,-66.75,25.55,"(0.375317, -0.873574, 0.309847)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACF90>,,,,,-65.48681009189968,17.53895201589949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,18.0167,-66.6333,13.8,"(0.377167, -0.872973, 0.309294)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACDD0>,,,-65.33384288363685,17.954196664187972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,18.4167,-66.5,25.55,"(0.378327, -0.870092, 0.315926)",237,245.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACE40>,,,,,-65.23712360029052,17.90539932345544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,17.6667,-64.8333,17.1,"(0.405198, -0.862389, 0.303479)",224,0.0,<pygplates.pygplates.Feature object at 0x0000016CD8DACD60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
