r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
2732,19.3167,-81.1667,19.6,"(0.144915, -0.932512, 0.330789)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,19.65,-80.1,0.05,"(0.161917, -0.927741, 0.336274)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,26.5,-78.8,2.65,"(0.173827, -0.87789, 0.446198)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,18.4667,-77.4,2.65,"(0.206911, -0.925665, 0.316753)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DCF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,18.5,-77.3333,0.05,"(0.207948, -0.925243, 0.317305)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DD60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,18.3667,-77.1167,35.95,"(0.211608, -0.925168, 0.315098)",237,1.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9DAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,18.2167,-77.1,35.95,"(0.212061, -0.925907, 0.312612)",237,1.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9DE40>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,18.1861,-76.4347,2.65,"(0.222837, -0.923545, 0.312104)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DDD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,18.1847,-76.4181,2.3,"(0.223106, -0.923487, 0.312081)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,17.8833,-76.2806,3.1,"(0.225708, -0.924531, 0.307079)",238,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9DEB0>,-75.69411598870342,16.85802161430344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,20.1333,-75.2,28.45,"(0.239837, -0.907745, 0.344205)",236,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9DC10>,,,,,-69.07034113680847,16.23893898401956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,24.0333,-74.5167,0.05,"(0.243815, -0.880163, 0.407268)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DC80>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,-44.85,-71.5,148.55,"(0.224955, -0.672319, -0.705253)",291,550.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9DF20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.600638349425054,-43.50223330242416,,,,,,,,,,
786,19.6667,-71.4,8.45,"(0.300353, -0.892482, 0.336548)",241,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E040>,-70.747244439076,18.59934500429627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,19.5333,-71.3,7.1,"(0.302161, -0.892696, 0.334355)",240,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E0B0>,-70.64990647817226,18.464612972995013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,-38.7,-70.2833,160.4,"(0.263294, -0.734676, -0.625243)",290,550.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.02427889456844,-41.698501992792586,,,,,,
569,-35.9167,-69.7833,160.4,"(0.279868, -0.759976, -0.586608)",290,550.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9E200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.73407924158526,-38.89566877552007,,,,,,
