r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
2045,-81.7,12.5333,14.9,"(0.140916, -0.965945, 0.217007)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396E40>,,,-78.62782177494869,10.157488896352705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,-81.7,12.5333,7.1,"(0.140916, -0.965945, 0.217007)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396DD0>,-80.7362111150312,11.678941748462165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,-81.25,19.3333,0.05,"(0.143545, -0.932627, 0.331063)",216,50.0,<pygplates.pygplates.Feature object at 0x0000029070396F90>,-79.40271524997131,18.54459901018926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,-81.1667,19.3167,19.6,"(0.144915, -0.932512, 0.330789)",216,50.0,<pygplates.pygplates.Feature object at 0x0000029070396CF0>,,,-75.73510091949755,17.109643467888723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,-80.1,19.65,0.05,"(0.161917, -0.927741, 0.336274)",216,50.0,<pygplates.pygplates.Feature object at 0x0000029070396C80>,-78.2487345371139,18.82846765822669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,-78.8,26.5,2.65,"(0.173827, -0.87789, 0.446198)",233,600.0,<pygplates.pygplates.Feature object at 0x0000029070396C10>,-76.73100897229088,25.638758962300273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,-77.4,18.4667,2.65,"(0.206911, -0.925665, 0.316753)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396BA0>,-76.14341964458278,17.389490268021547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,-77.3333,18.5,0.05,"(0.207948, -0.925243, 0.317305)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396B30>,-76.07540269840118,17.419460986052364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,-77.1167,18.3667,35.95,"(0.211608, -0.925168, 0.315098)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396AC0>,,,,,,,-71.13580894233186,12.594101195401107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,-77.1,18.2167,35.95,"(0.212061, -0.925907, 0.312612)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396A50>,,,,,,,-71.13783718486147,12.443278460737165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
