r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
3751,12.2833,-69.0667,0.05,"(0.349102, -0.912616, 0.212746)",228,170.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9430>,-68.26625866758043,10.667209209156068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,18.1667,-67.9167,8.45,"(0.357214, -0.880449, 0.311783)",254,110.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB94A0>,-66.56927392816303,17.13498712619109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,18.5167,-67.0333,13.8,"(0.369996, -0.873067, 0.317581)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9510>,,,-64.60340018575054,15.456724325588228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,18.5167,-67.0333,8.45,"(0.369996, -0.873067, 0.317581)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9580>,-66.0057616430666,17.460631626708487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,17.9833,-66.9167,25.55,"(0.372915, -0.874994, 0.30874)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB95F0>,,,,,-63.41054183512257,13.91125440284361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,18.05,-66.75,25.55,"(0.375317, -0.873574, 0.309847)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9660>,,,,,-63.242926929268386,13.967066337536131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,18.0167,-66.6333,13.8,"(0.377167, -0.872973, 0.309294)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB96D0>,,,-64.25786474422102,14.924668362451449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,18.4167,-66.5,25.55,"(0.378327, -0.870092, 0.315926)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9740>,,,,,-62.97308626310101,14.316898952891462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,17.6667,-64.8333,17.1,"(0.405198, -0.862389, 0.303479)",237,75.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB97B0>,,,-62.525585501822626,14.424532296348778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,32.2667,-64.7667,0.05,"(0.360472, -0.764887, 0.533861)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8DB89E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,11.85,-64.6167,0.05,"(0.419536, -0.884206, 0.20535)",235,90.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9820>,-63.68880620439844,10.31728865158034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,17.6833,-61.8,13.8,"(0.450223, -0.839662, 0.303755)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8DB9890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,17.0333,-61.6833,27.05,"(0.453538, -0.841723, 0.292927)",234,90.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9900>,,,,,-57.06865030023324,12.83648134591483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,13.0667,-59.5333,0.05,"(0.493909, -0.839607, 0.226085)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8DB9970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,33.05,-16.3333,8.45,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8DB99E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,33.05,-16.3333,13.8,"(0.804367, -0.235721, 0.545371)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8DB9B30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,30.6167,-9.7667,154.7,"(0.848121, -0.145988, 0.509292)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9A50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.40442205113769,19.983602100808355,,,,,,,,
388,32.55,-9.6667,160.4,"(0.830954, -0.141541, 0.538035)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9C10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.933132422418463,22.525356588385634,,,,,,
2751,39.1958,-9.0514,160.4,"(0.76534, -0.121922, 0.631972)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.319997428891146,26.25453155669988,,,,,,
497,38.95,-9.05,154.7,"(0.768014, -0.122329, 0.628642)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9CF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.088825743757596,25.511291680628606,,,,,,,,
499,37.15,-8.1,154.7,"(0.789106, -0.112306, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9BA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.544200616912338,23.62602908937705,,,,,,,,
3482,37.1667,-7.9667,157.3,"(0.78919, -0.110446, 0.604136)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9F90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64788584805777,23.57565480783063,,,,,,,,
353,31.6833,-6.2667,186.75,"(0.845879, -0.0928884, 0.525224)",77142,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9DD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.457549895437782,20.45859235912637,,
389,33.85,-5.6667,186.75,"(0.82644, -0.0820046, 0.557021)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9D60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9230776877877975,22.215254938164502,,
3583,33.65,-5.6167,8.45,"(0.828441, -0.0814732, 0.554118)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9C80>,-5.24906921622984,31.059137064713568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,33.5333,-5.1667,186.75,"(0.830178, -0.0750657, 0.552422)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9E40>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.187442847404138,21.753439069264477,,
354,33.5,-5.0,186.75,"(0.830713, -0.0726779, 0.551937)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9EB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.308460697521889,21.66521542835288,,
356,32.6833,-4.7167,176.5,"(0.838818, -0.0692095, 0.539995)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DB9F20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.227002632749251,20.950121104407003,,,,
375,32.1597,-4.3597,169.7,"(0.844118, -0.0643541, 0.532281)",77142,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.743462566339064,19.76475763168618,,,,,,
355,34.0,-4.1667,186.75,"(0.826846, -0.0602367, 0.559193)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.210673927138792,21.832014157742215,,
1238,43.4667,-3.9333,97.2,"(0.724065, -0.0497846, 0.687933)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA0B0>,,,,,,,,,,,,,,,,,,,11.016287935728524,34.85749808930348,,,,,,,,,,,,,,,,,,,,
1472,36.95,-3.7528,9.45,"(0.797447, -0.0523066, 0.601118)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA200>,-3.574886526905427,34.56022996193384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,37.15,-3.5333,9.45,"(0.795542, -0.0491216, 0.603904)",329,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA270>,-3.362045371045023,34.76033070164018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,32.2667,-3.4333,186.75,"(0.844055, -0.0506384, 0.533861)",77142,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.047568115069167,19.999466348190253,,
2000,34.1833,-3.25,8.15,"(0.825914, -0.0468988, 0.561842)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA350>,-2.9434940542376355,31.570951241188926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,33.0,-3.0,169.7,"(0.837521, -0.0438926, 0.544639)",706,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.249595798805862,19.86990858233153,,,,,,
3582,35.0,-2.65,6.3,"(0.818276, -0.0378733, 0.573576)",721,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DBA430>,-2.3519791317441796,32.38286485613249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
