occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
149864,-1.466667,50.650002,127.2,"(0.633848, -0.0162289, 0.773287)",315,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9350>,,,,,,,,,,,,,,,,,,,,,,,,,10.412336502568659,40.82649445459124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.412336502568659,40.82649445459124,,,,,,,,,,,,,,
149865,-1.371725,50.617706,125.93,"(0.63431, -0.015189, 0.77293)",315,600.0,<pygplates.pygplates.Feature object at 0x00000212716A93C0>,,,,,,,,,,,,,,,,,,,,,,,,,10.491095216427093,40.793089429177336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.491095216427093,40.793089429177336,,,,,,,,,,,,,,
149926,-3.966667,30.9,99.4,"(0.856009, -0.0593576, 0.513541)",714,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9430>,,,,,,,,,,,,,,,,,,,-4.442088314121615,18.25956395735614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.442088314121615,18.25956395735614,,,,,,,,,,,,,,,,,,,,
150083,111.566666,22.766666,0.39635,"(-0.338945, 0.857533, 0.386979)",611,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A94A0>,111.1474794162246,22.651504567082643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1474794162246,22.651504567082643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150323,-86.519997,31.366667,44.55,"(0.0518291, -0.852279, 0.520513)",109,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9510>,,,,,,,,,-75.47421987186881,32.37942951073655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.47421987186881,32.37942951073655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150469,24.733334,-30.316668,196.05,"(0.784059, 0.361179, -0.504779)",701,600.0,<pygplates.pygplates.Feature object at 0x00000212716A9580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.946894349095877,-42.31736134666429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.946894349095877,-42.31736134666429
150609,36.033333,32.016666,69.05,"(0.685671, 0.498779, 0.530166)",503,600.0,<pygplates.pygplates.Feature object at 0x00000212716A95F0>,,,,,,,,,,,,,29.231044231553682,17.515949890689694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.231044231553682,17.515949890689694,,,,,,,,,,,,,,,,,,,,,,,,,,
150856,101.331947,43.938889,92.05,"(-0.141491, 0.706043, 0.693891)",628,540.0,<pygplates.pygplates.Feature object at 0x00000212716A9660>,,,,,,,,,,,,,,,,,,,91.87197010999505,45.27537817621699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87197010999505,45.27537817621699,,,,,,,,,,,,,,,,,,,,
150901,87.0,23.5,0.063,"(0.0479952, 0.915803, 0.398749)",501,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A96D0>,86.98456904680015,21.113060689348618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.98456904680015,21.113060689348618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151804,68.727776,23.505556,41.25,"(0.332695, 0.854542, 0.398838)",501,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9740>,,,,,,,,,62.517323886199605,6.41947908164716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.517323886199605,6.41947908164716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
