occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
633325,2.65,49.349998,51.9,"(0.65074, 0.030119, 0.758703)",305,420.0,<pygplates.pygplates.Feature object at 0x00000290744F7890>,,,,,,,,,,,7.033155917398044,38.79064967099535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634416,-110.848335,31.696114,77.05,"(-0.302812, -0.795138, 0.525414)",101,1800.0,<pygplates.pygplates.Feature object at 0x00000290744F7900>,,,,,,,,,,,,,,,-76.57661126636009,40.09758950683203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634417,-110.848335,31.696114,77.05,"(-0.302812, -0.795138, 0.525414)",101,1800.0,<pygplates.pygplates.Feature object at 0x00000290744F7970>,,,,,,,,,,,,,,,-76.57661126636009,40.09758950683203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635127,14.752449,55.080208,142.6,"(0.553559, 0.145765, 0.819954)",330,600.0,<pygplates.pygplates.Feature object at 0x00000290744F79E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.67787999315434,39.54451379385902,,,,,,,,,,,,,,,,,,
635578,112.033333,43.719444,77.05,"(-0.27113, 0.669948, 0.691128)",453,410.0,<pygplates.pygplates.Feature object at 0x00000290744F7A50>,,,,,,,,,,,,,,,110.24322845054415,45.8144947735818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636516,-0.861015,40.654675,127.725,"(0.758564, -0.0114002, 0.651498)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F7AC0>,,,,,,,,,,,,,,,,,,,,,,,,,21.378567496301553,29.476060601102148,,,,,,,,,,,,,,,,,,,,,,
636530,-0.901931,40.662167,127.725,"(0.758471, -0.0119406, 0.651598)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F7B30>,,,,,,,,,,,,,,,,,,,,,,,,,21.351445012505497,29.497558565119572,,,,,,,,,,,,,,,,,,,,,,
636624,-3.306101,42.037514,126.23,"(0.74147, -0.0428321, 0.669617)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290744F7BA0>,,,,,,,,,,,,,,,,,,,,,,,,,20.30483419153953,31.579795852440178,,,,,,,,,,,,,,,,,,,,,,
636645,100.901947,43.664444,77.05,"(-0.136815, 0.71034, 0.690434)",451,410.0,<pygplates.pygplates.Feature object at 0x00000290744F7C10>,,,,,,,,,,,,,,,99.25850763225743,43.79832947242262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638377,-110.099998,42.716667,53.05,"(-0.252493, -0.689969, 0.678373)",101,3900.0,<pygplates.pygplates.Feature object at 0x00000290744F7C80>,,,,,,,,,,,-78.75343301568391,48.5394193047334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
