occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
149926,-3.966667,30.9,99.4,"(0.856009, -0.0593576, 0.513541)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029072426120>,,,,,,,,,,,,,,,,,,,4.954106027125913,19.59940375945496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150083,111.566666,22.766666,0.39635,"(-0.338945, 0.857533, 0.386979)",602,600.0,<pygplates.pygplates.Feature object at 0x0000029072426190>,111.32254173509791,24.03765396528962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150323,-86.519997,31.366667,44.55,"(0.0518291, -0.852279, 0.520513)",109,600.0,<pygplates.pygplates.Feature object at 0x00000290724260B0>,,,,,,,,,-66.81447105360499,27.462852990446954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150469,24.733334,-30.316668,196.05,"(0.784059, 0.361179, -0.504779)",701,600.0,<pygplates.pygplates.Feature object at 0x0000029072426200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.325482427961399,-43.68662098720334,,,,,,,,
150609,36.033333,32.016666,69.05,"(0.685671, 0.498779, 0.530166)",503,600.0,<pygplates.pygplates.Feature object at 0x0000029072426270>,,,,,,,,,,,,,35.96617815826103,12.827027742159888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150856,101.331947,43.938889,92.05,"(-0.141491, 0.706043, 0.693891)",430,250.0,<pygplates.pygplates.Feature object at 0x00000290724262E0>,,,,,,,,,,,,,,,,,,,106.97260063330124,48.06247329842229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150901,87.0,23.5,0.063,"(0.0479952, 0.915803, 0.398749)",501,600.0,<pygplates.pygplates.Feature object at 0x0000029072426350>,85.98566611029251,22.111663116850053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151804,68.727776,23.505556,41.25,"(0.332695, 0.854542, 0.398838)",501,600.0,<pygplates.pygplates.Feature object at 0x00000290724263C0>,,,,,,,,,64.1350167345283,7.047641973470874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151805,68.727776,23.505556,41.25,"(0.332695, 0.854542, 0.398838)",501,600.0,<pygplates.pygplates.Feature object at 0x0000029072426430>,,,,,,,,,64.1350167345283,7.047641973470874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168759,-107.572304,43.9524,53.05,"(-0.217349, -0.686323, 0.694061)",101,600.0,<pygplates.pygplates.Feature object at 0x00000290724264A0>,,,,,,,,,,,-75.38294864929789,47.32595558679407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
