occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
30261,6.516667,46.833332,138.3,"(0.679703, 0.0776426, 0.729367)",397,650.0,<pygplates.pygplates.Feature object at 0x0000021271616EB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,25.233841786145323,30.40762181917505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.233841786145323,30.40762181917505,,,,,,,,,,,,
30690,6.516667,46.833332,106.75,"(0.679703, 0.0776426, 0.729367)",397,650.0,<pygplates.pygplates.Feature object at 0x0000021271616DD0>,,,,,,,,,,,,,,,,,,,,,16.44684118751234,38.82680336296791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44684118751234,38.82680336296791,,,,,,,,,,,,,,,,,,
40163,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271616CF0>,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40167,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271616D60>,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40168,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271616F20>,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.74743007051963,35.11621870815471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137487,99.599998,43.299999,77.05,"(-0.12137, 0.717581, 0.685818)",451,400.0,<pygplates.pygplates.Feature object at 0x0000021271616F90>,,,,,,,,,,,,,,,86.64904245170612,44.379560366281005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.64904245170612,44.379560366281005,,,,,,,,,,,,,,,,,,,,,,,,
146083,-65.940002,-17.687,68.3,"(0.388422, -0.869956, -0.303817)",201,550.0,<pygplates.pygplates.Feature object at 0x0000021271616E40>,,,,,,,,,,,,,-58.55505511239747,-23.414309032514574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.55505511239747,-23.414309032514574,,,,,,,,,,,,,,,,,,,,,,,,,,
147094,-107.199997,35.700001,77.05,"(-0.24014, -0.775766, 0.583541)",101,1100.0,<pygplates.pygplates.Feature object at 0x0000021271616C80>,,,,,,,,,,,,,,,-82.08423720975911,42.24529305847944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.08423720975911,42.24529305847944,,,,,,,,,,,,,,,,,,,,,,,,
149325,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,1100.0,<pygplates.pygplates.Feature object at 0x0000021271616C10>,,,,,,,,,,,,,-77.56814130292652,52.90061339540287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.56814130292652,52.90061339540287,,,,,,,,,,,,,,,,,,,,,,,,,,
149326,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,1100.0,<pygplates.pygplates.Feature object at 0x0000021271618120>,,,,,,,,,,,,,-77.56814130292652,52.90061339540287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.56814130292652,52.90061339540287,,,,,,,,,,,,,,,,,,,,,,,,,,
149587,-65.26667,-24.299999,68.3,"(0.381327, -0.827796, -0.411514)",290,550.0,<pygplates.pygplates.Feature object at 0x0000021271618190>,,,,,,,,,,,,,-58.941988777597096,-30.048094973183343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.941988777597096,-30.048094973183343,,,,,,,,,,,,,,,,,,,,,,,,,,
149621,164.956665,-21.336666,0.00585,"(-0.899537, 0.24176, -0.363847)",,inf,<pygplates.pygplates.Feature object at 0x00000212716183C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149853,-1.381643,50.62413,126.23,"(0.634221, -0.0152967, 0.773001)",,inf,<pygplates.pygplates.Feature object at 0x0000021271618200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
