occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lng_5,lat_5,lat_5,lng_15,lng_15,lat_15,lat_15,lng_25,lng_25,lat_25,lat_25,lng_35,lng_35,lat_35,lat_35,lng_45,lng_45,lat_45,lat_45,lng_55,lng_55,lat_55,lat_55,lng_65,lng_65,lat_65,lat_65,lng_75,lng_75,lat_75,lat_75,lng_85,lng_85,lat_85,lat_85,lng_95,lng_95,lat_95,lat_95,lng_105,lng_105,lat_105,lat_105,lng_115,lng_115,lat_115,lat_115,lng_125,lng_125,lat_125,lat_125,lng_135,lng_135,lat_135,lat_135,lng_145,lng_145,lat_145,lat_145,lng_155,lng_155,lat_155,lat_155,lng_165,lng_165,lat_165,lat_165,lng_175,lng_175,lat_175,lat_175,lng_185,lng_185,lat_185,lat_185,lng_195,lng_195,lat_195,lat_195,lng_5,lng_5,lng_5,lng_5,lat_5,lat_5,lat_5,lat_5,lng_15,lng_15,lng_15,lng_15,lat_15,lat_15,lat_15,lat_15,lng_25,lng_25,lng_25,lng_25,lat_25,lat_25,lat_25,lat_25,lng_35,lng_35,lng_35,lng_35,lat_35,lat_35,lat_35,lat_35,lng_45,lng_45,lng_45,lng_45,lat_45,lat_45,lat_45,lat_45,lng_55,lng_55,lng_55,lng_55,lat_55,lat_55,lat_55,lat_55,lng_65,lng_65,lng_65,lng_65,lat_65,lat_65,lat_65,lat_65,lng_75,lng_75,lng_75,lng_75,lat_75,lat_75,lat_75,lat_75,lng_85,lng_85,lng_85,lng_85,lat_85,lat_85,lat_85,lat_85,lng_95,lng_95,lng_95,lng_95,lat_95,lat_95,lat_95,lat_95,lng_105,lng_105,lng_105,lng_105,lat_105,lat_105,lat_105,lat_105,lng_115,lng_115,lng_115,lng_115,lat_115,lat_115,lat_115,lat_115,lng_125,lng_125,lng_125,lng_125,lat_125,lat_125,lat_125,lat_125,lng_135,lng_135,lng_135,lng_135,lat_135,lat_135,lat_135,lat_135,lng_145,lng_145,lng_145,lng_145,lat_145,lat_145,lat_145,lat_145,lng_155,lng_155,lng_155,lng_155,lat_155,lat_155,lat_155,lat_155,lng_165,lng_165,lng_165,lng_165,lat_165,lat_165,lat_165,lat_165,lng_175,lng_175,lng_175,lng_175,lat_175,lat_175,lat_175,lat_175,lng_185,lng_185,lng_185,lng_185,lat_185,lat_185,lat_185,lat_185,lng_195,lng_195,lng_195,lng_195,lat_195,lat_195,lat_195,lat_195
149587,-65.26667,-24.299999,68.3,"(0.381327, -0.827796, -0.411514)",201,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD120>,,,,,,,,,,,,,-49.02863402065801,-25.887095768070694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.02863402065801,-25.887095768070694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.02863402065801,-49.02863402065801,-25.887095768070694,-25.887095768070694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.02863402065801,-49.02863402065801,-49.02863402065801,-49.02863402065801,-25.887095768070694,-25.887095768070694,-25.887095768070694,-25.887095768070694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149621,164.956665,-21.336666,0.00585,"(-0.899537, 0.24176, -0.363847)",834,150.0,<pygplates.pygplates.Feature object at 0x0000021273FDD350>,165.46971574461807,-23.513923462091615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.46971574461807,-23.513923462091615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.46971574461807,165.46971574461807,-23.513923462091615,-23.513923462091615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.46971574461807,165.46971574461807,165.46971574461807,165.46971574461807,-23.513923462091615,-23.513923462091615,-23.513923462091615,-23.513923462091615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149853,-1.381643,50.62413,126.23,"(0.634221, -0.0152967, 0.773001)",315,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD3C0>,,,,,,,,,,,,,,,,,,,,,,,,,24.29108834988075,38.243704583046274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29108834988075,38.243704583046274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29108834988075,24.29108834988075,38.243704583046274,38.243704583046274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29108834988075,24.29108834988075,24.29108834988075,24.29108834988075,38.243704583046274,38.243704583046274,38.243704583046274,38.243704583046274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149861,-1.468,50.654499,126.23,"(0.633787, -0.0162421, 0.773337)",315,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD430>,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,24.226246958480427,38.28016918726114,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,24.226246958480427,24.226246958480427,24.226246958480427,38.28016918726114,38.28016918726114,38.28016918726114,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149862,-1.468,50.654499,126.23,"(0.633787, -0.0162421, 0.773337)",315,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD4A0>,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,24.226246958480427,38.28016918726114,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.226246958480427,24.226246958480427,24.226246958480427,24.226246958480427,38.28016918726114,38.28016918726114,38.28016918726114,38.28016918726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149864,-1.466667,50.650002,127.2,"(0.633848, -0.0162289, 0.773287)",315,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD510>,,,,,,,,,,,,,,,,,,,,,,,,,24.22665646760637,38.27560476460659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22665646760637,38.27560476460659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22665646760637,24.22665646760637,38.27560476460659,38.27560476460659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22665646760637,24.22665646760637,24.22665646760637,24.22665646760637,38.27560476460659,38.27560476460659,38.27560476460659,38.27560476460659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149865,-1.371725,50.617706,125.93,"(0.63431, -0.015189, 0.77293)",315,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD580>,,,,,,,,,,,,,,,,,,,,,,,,,24.298108733225465,38.23660113899027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.298108733225465,38.23660113899027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.298108733225465,24.298108733225465,38.23660113899027,38.23660113899027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.298108733225465,24.298108733225465,24.298108733225465,24.298108733225465,38.23660113899027,38.23660113899027,38.23660113899027,38.23660113899027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149926,-3.966667,30.9,99.4,"(0.856009, -0.0593576, 0.513541)",714,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD5F0>,,,,,,,,,,,,,,,,,,,6.934782403500343,24.513597685565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.934782403500343,24.513597685565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.934782403500343,6.934782403500343,24.513597685565212,24.513597685565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.934782403500343,6.934782403500343,6.934782403500343,6.934782403500343,24.513597685565212,24.513597685565212,24.513597685565212,24.513597685565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150083,111.566666,22.766666,0.39635,"(-0.338945, 0.857533, 0.386979)",611,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD660>,111.25451306176159,22.333381201340696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25451306176159,22.333381201340696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25451306176159,111.25451306176159,22.333381201340696,22.333381201340696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25451306176159,111.25451306176159,111.25451306176159,111.25451306176159,22.333381201340696,22.333381201340696,22.333381201340696,22.333381201340696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150323,-86.519997,31.366667,44.55,"(0.0518291, -0.852279, 0.520513)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021273FDD6D0>,,,,,,,,,-66.78179001123527,34.742727558179254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.78179001123527,34.742727558179254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.78179001123527,-66.78179001123527,34.742727558179254,34.742727558179254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.78179001123527,-66.78179001123527,-66.78179001123527,-66.78179001123527,34.742727558179254,34.742727558179254,34.742727558179254,34.742727558179254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
