"r_number","lng","lat","mid_ma"
2767,16.2,45.4333,63.8
2666,16.25,46,66.85
2070,16.3833,48.5,148.55
452,16.8167,48.9,148.55
3118,17.7167,44.1833,151.15
640,18.0833,44.6833,49.95
3207,18.09,49.03,169.3
453,18.1167,49.5833,148.55
1600,18.1333,29.75,31
1143,18.25,46.1667,142.4
1144,18.25,46.1667,132.4
1145,18.25,46.1667,106.75
3117,18.3,43.75,151.15
512,18.3333,43.2,154.7
3205,18.3833,39.8667,6.65
687,18.4333,40,26.25
660,18.45,49.1333,57.6
3304,18.5667,49.75,148.55
513,18.6333,42.9333,157.3
659,18.6667,49.2333,57.6
661,18.6667,49.2333,63.8
3935,18.6667,49.2333,74.8
514,18.7,42.9167,168.8
1151,18.75,42.5,154.7
515,19.1667,42.9167,145.95
511,19.4333,42.6167,154.25
212,19.8333,39.75,204.9
3489,20.2,50.85,154.7
523,20.4167,44.6667,148.55
747,20.4333,49.3833,57.6
630,20.4667,50.8167,154.7
3227,20.8,50.4667,14.9
632,20.9833,50.0167,154.7
522,21.2833,43.1167,148.55
631,21.5167,50.0667,154.7
519,21.5333,43.9,148.55
516,21.9167,44.4,148.55
520,21.95,43.875,148.55
517,22.2667,44.0167,148.55
518,22.3833,43.8167,148.55
521,22.5833,42.9167,148.55
1625,23.25,43.5833,14.9
1096,23.2833,47.25,31
2822,23.4167,38.9167,151.15
1624,23.5,43.5,14.9
3282,23.6,35.5833,9.45
2168,23.75,49.6667,151.15
3281,24.75,35.0333,8.45
1091,25.1667,45.5,145.95
3076,25.1667,45.5,154.7
2167,25.3333,48.0833,154.7
726,26.7,41.8167,35.95
2447,27.3583,26.4333,57.6
727,27.5,41.6667,35.95
2483,28.4667,45.2667,154.25
219,28.5333,44.3667,157.3
1701,28.6667,44.3333,160.4
648,29.8333,36.3833,9.45
2193,30.05,25.4667,63.8
758,30.8333,37.6667,14.9
3457,31.1,37.1667,13.8
3456,31.1167,37.3,17.1
3660,31.1333,29.9833,44.55
2566,31.25,37.45,13.8
2568,31.45,36.9667,17.1
2567,31.6167,36.7167,16.75
3455,31.6833,36.8167,17.1
866,33.1667,35.0833,9.45
3396,33.3667,27.6167,13.8
2597,33.4667,36.8,18.2
3930,33.5,27.9333,0.05
685,33.5833,27.3,13.8
3931,33.5833,27.65,0.05
2636,33.7333,44.55,142.4
3514,33.8667,44.65,142.4
3397,33.9,26.7333,13.8
4081,34.02,26.33,0.05
3443,34.1333,44.4333,145.95
3398,34.1833,26.1167,12.7
3516,34.2,44.85,142.4
3515,34.2333,45.0167,136.35
4082,34.29,25.47,0.45
4083,34.29,25.47,0.45
681,34.3,25.95,17.1
4289,34.3,36.54,17.1
2921,34.5,44.8333,136.35
719,34.6167,31.3167,9.45
1981,34.6167,31.3167,14.9
1982,34.65,25.5,17.1
720,34.8667,31.3833,14.9
3231,34.9,28.1667,9.45
2015,34.9167,44.8167,161.7
675,35,37.25,18.2
722,35,32.3333,9.45
1983,35.0167,24.8,17.1
723,35.1,33,9.45
4259,35.1,28.1,14.9
2843,35.2056,38.0889,63.8
2016,35.2333,44.9333,161.7
3805,35.5,27.6667,0.45
2899,39.1667,-9.8667,119
2901,39.1667,-9.8667,132
3001,39.1667,-9.8667,132
3352,39.7,-4,0.05
